journal_id,title,group,search_role,pubmed_token,official_url,status,notes
J-GENMED-001,The Lancet,general_medicine,applied_seed,Lancet,https://www.thelancet.com/journals/lancet/home,active,"coverage device, not quality gate"
J-GENMED-002,New England Journal of Medicine,general_medicine,applied_seed,N Engl J Med,https://www.nejm.org,active,"coverage device, not quality gate"
J-GENMED-003,JAMA,general_medicine,applied_seed,JAMA,https://jamanetwork.com/journals/jama,active,"coverage device, not quality gate"
J-GENMED-004,BMJ,general_medicine,applied_seed,BMJ,https://www.bmj.com,active,"coverage device, not quality gate"
J-GENMED-005,PLOS Medicine,general_medicine,applied_seed,PLoS Med,https://journals.plos.org/plosmedicine/,active,"coverage device, not quality gate"
J-GSCI-001,Nature,general_science,applied_seed,Nature,https://www.nature.com/nature/,active,"coverage device, not quality gate"
J-GSCI-002,Science,general_science,applied_seed,Science,https://www.science.org/journal/science,active,"coverage device, not quality gate"
J-GSCI-003,Proceedings of the National Academy of Sciences,general_science,applied_seed,Proc Natl Acad Sci U S A,https://www.pnas.org,active,"coverage device, not quality gate"
J-GENMED-006,Nature Medicine,general_medicine,applied_seed,Nat Med,https://www.nature.com/nm/,active,"coverage device, not quality gate"
J-INFECT-001,The Lancet Infectious Diseases,infectious_disease,applied_seed,Lancet Infect Dis,https://www.thelancet.com/journals/laninf/home,active,"coverage device, not quality gate"
J-INFECT-002,Clinical Infectious Diseases,infectious_disease,applied_seed,Clin Infect Dis,https://academic.oup.com/cid,active,"coverage device, not quality gate"
J-INFECT-003,Nature Microbiology,infectious_disease,applied_seed,Nat Microbiol,https://www.nature.com/nmicro/,active,"coverage device, not quality gate"
J-INFECT-004,Emerging Infectious Diseases,infectious_disease,applied_seed,Emerg Infect Dis,https://wwwnc.cdc.gov/eid/,active,"coverage device, not quality gate"
J-INFECT-005,Eurosurveillance,infectious_disease,applied_seed,Euro Surveill,https://www.eurosurveillance.org,active,"coverage device, not quality gate"
J-GLOBAL-001,The Lancet Global Health,global_health,applied_seed,Lancet Glob Health,https://www.thelancet.com/journals/langlo/home,active,"coverage device, not quality gate"
J-EPI-001,Epidemiology,epidemiology,applied_seed,Epidemiology,https://journals.lww.com/epidem/,active,"coverage device, not quality gate"
J-EPI-002,International Journal of Epidemiology,epidemiology,applied_seed,Int J Epidemiol,https://academic.oup.com/ije,active,"coverage device, not quality gate"
J-EPI-003,American Journal of Epidemiology,epidemiology,applied_seed,Am J Epidemiol,https://academic.oup.com/aje,active,"coverage device, not quality gate"
J-NPJ-001,npj Digital Medicine,npj,applied_seed,NPJ Digit Med,https://www.nature.com/npjdigitalmed/,active,"coverage device, not quality gate"
J-NPJ-002,npj Vaccines,npj,applied_seed,NPJ Vaccines,https://www.nature.com/npjvaccines/,active,"coverage device, not quality gate"
J-NPJ-003,npj Biofilms and Microbiomes,npj,applied_seed,NPJ Biofilms Microbiomes,https://www.nature.com/npjbiofilms/,active,"coverage device, not quality gate"
J-NPJ-004,npj Systems Biology and Applications,npj,applied_seed,NPJ Syst Biol Appl,https://www.nature.com/npjsba/,active,"coverage device, not quality gate"
